Suburb,Site_title,Site_streetaddress,Site_state,Site_postcode,Exposure_date,Exposure_time,Added_date,Advice_title
Fitzroy,Morning Market,59 Gertrude Street,VIC,3065,16/07/2021,12:50pm - 1:30pm,2021-07-24 19:35:00,Tier 2 - Get tested urgently and isolate until you have a negative result
Hawthorn ,H Hawthorn Apartment Complex,147 Riversdale Road,VIC,3122,22/07/2021,12:00am - 11:59pm,2021-07-24 19:25:00,Tier 2 - Get tested urgently and isolate until you have a negative result
