Suburb,Site_title,Site_streetaddress,Site_state,Site_postcode,Exposure_date_dtm,Exposure_date,Exposure_time,Notes,Added_date_dtm,Added_date,Added_time,Advice_title,Advice_instruction,Exposure_time_start_24,Exposure_time_end_24
Truganina,BP Service Station- Westbound,1789 Western Freeway,VIC,3029,2021-07-13,13/07/2021,7:15am - 7:50am,Case attended venue,2021-07-16,16/07/2021,18:00:00,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",07:15:00,07:50:00
Moonee Ponds,Coles Moonee Ponds,Cnr Homer Street & Eddy Street,VIC,3039,2021-07-13,13/07/2021,9:00pm - 9:35pm,Case attended venue,2021-07-16,16/07/2021,18:00:00,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",21:00:00,21:35:00
Moonee Ponds,Coles Moonee Ponds,Cnr Homer Street & Eddy Street,VIC,3039,2021-07-12,12/07/2021,7:30pm - 7:45pm,Case attended venue,2021-07-16,16/07/2021,18:00:00,Tier 3 - Monitor for symptoms,"Anyone who has visited this location during these times should monitor for symptoms - If symptoms develop, immediately get tested and isolate until you receive a negative result.",19:30:00,19:45:00
Essendon,Re-Creation Health Club,275 Buckley Street,VIC,3032,2021-07-13,13/07/2021,9:20pm - 10:30pm,Case attended venue,2021-07-16,16/07/2021,18:00:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,21:20:00,22:30:00
Cowes,A Maze N Things Theme Park,1805 Phillip Island Road,VIC,3922,2021-07-14,14/07/2021,3:46pm - 4:48pm,Case attended venue,2021-07-16,16/07/2021,17:32:00,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",15:46:00,16:48:00
Cowes,G'Day Tiger,3/34 Thompson Avenue,VIC,3922,2021-07-13,13/07/2021,9:16am - 10:24am,Case attended venue,2021-07-16,16/07/2021,17:32:00,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",09:16:00,10:24:00
Cowes,Coles Cowes,Cnr Church Street & Thompson Ave,VIC,3922,2021-07-12,12/07/2021,4:30pm - 5:30pm,Case attended venue,2021-07-16,16/07/2021,17:32:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,16:30:00,17:30:00
Frankston,Village Cinemas Karingal - Black Widow - Cinema 7,Shop M1/ 197 Karingal Drive,VIC,3199,2021-07-12,12/07/2021,6:00pm - 8:30pm,Case attended,2021-07-16,16/07/2021,15:54:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,18:00:00,20:30:00
Ventnor,Phillip Island Grand Prix Circuit,381 Back Beach Rd,VIC,3922,2021-07-13,13/07/2021,11:10am - 1:17pm,Case attended venue,2021-07-16,16/07/2021,15:54:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,11:10:00,13:17:00
Cowes,The Jolly Lolly Trolley ,25 Thompson Ave,VIC,3922,2021-07-14,14/07/2021,3:24pm - 4:05pm,Case attended venue,2021-07-16,16/07/2021,15:54:00,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",15:24:00,16:05:00
San Remo,San Remo Fishermans Co-op,170 Marine Parade,VIC,3925,2021-07-14,14/07/2021,6:15pm - 7:21pm,Case attended venue,2021-07-16,16/07/2021,13:56:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,18:15:00,19:21:00
Cowes,Phillip Island Ten Pin Bowling and Entertainment,91-97 Settlement Rd,VIC,3922,2021-07-14,14/07/2021,1:15pm - 3:45pm,Case attended venue,2021-07-16,16/07/2021,13:56:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,13:15:00,15:45:00
Cowes,Grumpy’s Crazy Golf ,152 Thompson Ave,VIC,3922,2021-07-14,14/07/2021,11:00am - 12:45pm,Case attended venue,2021-07-16,16/07/2021,13:56:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,11:00:00,12:45:00
Public Transport,Metro Trains - Glen Waverley Line (Holmesglen Station to Richmond Station),,VIC,,2021-07-15,15/07/2021,11:56am - 12:18pm,Case travelled on train,2021-07-16,16/07/2021,11:22:00,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",11:56:00,12:18:00
Moonee Ponds,Brotherhood of St Laurence,24 Margaret Street,VIC,3039,2021-07-12,12/07/2021,12:45pm - 3:00pm,Case attended venue,2021-07-16,16/07/2021,11:04:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,12:45:00,15:00:00
Public Transport,Metro Train - Hurstbridge Line (Montmorency Station to Greensborough Station),,VIC,,2021-07-12,12/07/2021,8:02am - 8:05am,Case travelled,2021-07-16,16/07/2021,01:20:00,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",08:02:00,08:05:00
Public Transport,Metro Train - Hurstbridge Line (Greensborough Station to Montmorency Station),,VIC,,2021-07-12,12/07/2021,5:31pm - 5:33pm,Case travelled,2021-07-16,16/07/2021,01:20:00,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",17:31:00,17:33:00
Greensborough,Greensborough Railway Station,Poulter Ave,VIC,3088,2021-07-12,12/07/2021,8:05am - 8:15am,Case attended,2021-07-16,16/07/2021,01:20:00,Tier 3 - Monitor for symptoms,"Anyone who has visited this location during these times should monitor for symptoms - If symptoms develop, immediately get tested and isolate until you receive a negative result.",08:05:00,08:15:00
Greensborough,Greensborough Railway Station,Poulter Ave,VIC,3088,2021-07-12,12/07/2021,5:15pm - 5:31pm,Case attended,2021-07-16,16/07/2021,01:20:00,Tier 3 - Monitor for symptoms,"Anyone who has visited this location during these times should monitor for symptoms - If symptoms develop, immediately get tested and isolate until you receive a negative result.",17:15:00,17:31:00
Montmorency,Montmorency Railway Station,Station Rd,VIC,3094,2021-07-12,12/07/2021,7:58am - 8:02am,Case attended,2021-07-16,16/07/2021,01:20:00,Tier 3 - Monitor for symptoms,"Anyone who has visited this location during these times should monitor for symptoms - If symptoms develop, immediately get tested and isolate until you receive a negative result.",07:58:00,08:02:00
Montmorency,Montmorency Railway Station,Station Rd,VIC,3094,2021-07-12,12/07/2021,5:33pm - 5:43pm,Case attended,2021-07-16,16/07/2021,01:20:00,Tier 3 - Monitor for symptoms,"Anyone who has visited this location during these times should monitor for symptoms - If symptoms develop, immediately get tested and isolate until you receive a negative result.",17:33:00,17:43:00
Melbourne,"AAMI Park, all other patrons and staff, Wallabies v France match",Olympic Boulevard,VIC,3000,2021-07-13,13/07/2021,7:56pm - 10:00pm,Case attended venue,2021-07-16,16/07/2021,01:00:00,Tier 3 - Monitor for symptoms,"Anyone who has visited this location during these times should monitor for symptoms - If symptoms develop, immediately get tested and isolate until you receive a negative result.",19:56:00,22:00:00
Melbourne,Cookie,252 Swanston Street,VIC,3000,2021-07-15,15/07/2021,6:30pm - 11:45pm,Case attended venue,2021-07-17,17/07/2021,23:15:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,18:30:00,23:45:00
Melbourne,The Emerald Peacock,233 Lonsdale Street,VIC,3000,2021-07-15,15/07/2021,6:00pm - 7:00pm,Case attended venue,2021-07-17,17/07/2021,23:15:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,18:00:00,19:00:00
Bacchus Marsh,Christian's Bus Bacchus Marsh (Bacchus Marsh Coaches)- Ballan/ Greendale to Bacchus Marsh via Hallets Way,,VIC,,2021-07-14,14/07/2021,8:10am - 8:30am,Case travelled on bus,2021-07-17,17/07/2021,23:11:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,08:10:00,08:30:00
Bacchus Marsh,Christian's Bus Bacchus Marsh (Bacchus Marsh Coaches)- Bacchus Marsh College to Bacchus Marsh Grammar,,VIC,,2021-07-14,14/07/2021,8:20am - 8:40am,Case travelled on bus,2021-07-17,17/07/2021,23:11:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,08:20:00,08:40:00
Bacchus Marsh,Christian's Bus Service (Bacchus Marsh Coaches)- Bacchus Marsh to Ballan/ Greendale,,VIC,,2021-07-14,14/07/2021,3:00pm - 4:00pm,Case travelled on bus,2021-07-17,17/07/2021,23:11:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,15:00:00,16:00:00
Bacchus Marsh,Bacchus Marsh College Bus Interchange,Corner of Grant Street and Griffith Street,VIC,3340,2021-07-14,14/07/2021,8:20am - 8:40am,Case attended venue,2021-07-17,17/07/2021,23:11:00,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",08:20:00,08:40:00
Kew,Now & Then Cafe,204 High Street,VIC,3101,2021-07-15,15/07/2021,10:00am - 11:30am,Case attended venue,2021-07-17,17/07/2021,22:08:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,10:00:00,11:30:00
Richmond,F45 Richmond,28 Cremorne Street,VIC,3121,2021-07-13,13/07/2021,6:50am - 8:06am,Case attended venue,2021-07-17,17/07/2021,22:08:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,06:50:00,08:06:00
Delahey,McDonald's Delahey,Kings Road,VIC,3037,2021-07-13,13/07/2021,10:00pm - 6:30am,All customers who attended venue during times listed. Case attended venue,2021-07-17,17/07/2021,22:00:00,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",22:00:00,06:30:00
Delahey,McDonald's Delahey,Kings Road,VIC,3037,2021-07-15,15/07/2021,11:00pm - 2:30am,All customers who attended venue during times listed. Case attended venue. ,2021-07-17,17/07/2021,21:52:00,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",23:00:00,02:30:00
Point Cook,Jamieson Way Community Health Centre Public Toilets,59 Jamieson Way,VIC,3030,2021-07-14,14/07/2021,9:00am - 3:30pm,Case used public toilets,2021-07-17,17/07/2021,21:37:00,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",09:00:00,15:30:00
Kew,Skinny Dog Hotel,115 High Street ,VIC,3101,2021-07-14,14/07/2021,6:05pm - 7:35pm,Case attended venue,2021-07-17,17/07/2021,20:17:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,18:05:00,19:35:00
Kew,Augustus Gelato,Shop 2/56 Cotham Road,VIC,3101,2021-07-14,14/07/2021,7:10pm - 7:55pm,Case attended venue,2021-07-17,17/07/2021,20:17:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,19:10:00,19:55:00
Camberwell,Chargrill Charlie's Camberwell,(Ground Floor) 10 Prospect Hill Road,VIC,3103,2021-07-14,14/07/2021,4:10pm - 5:10pm,Case attended venue,2021-07-17,17/07/2021,20:17:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,16:10:00,17:10:00
Clayton,Home Make It- Clayton,4/158 Wellington Road,VIC,3168,2021-07-15,15/07/2021,4:04pm - 4:29pm,Case attended venue,2021-07-17,17/07/2021,20:07:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,16:04:00,16:29:00
Cowes,Liquorland Cowes,114-122 Thompson Ave,VIC,3922,2021-07-12,12/07/2021,5:00pm - 5:30pm,Case attended venue,2021-07-17,17/07/2021,20:01:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,17:00:00,17:30:00
Oakleigh,National Australia Bank (NAB) Oakleigh Branch,2 Eaton Mall,VIC,3166,2021-07-15,15/07/2021,3:40pm - 4:00pm,Case attended venue,2021-07-17,17/07/2021,19:52:00,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",15:40:00,16:00:00
Oakleigh,Atherton Road News & Lotto,28 Atherton Road,VIC,3166,2021-07-15,15/07/2021,3:49pm - 4:04pm,Case attended venue,2021-07-17,17/07/2021,19:52:00,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",15:49:00,16:04:00
Cowes,Salvos Store Cowes,2/144 Thompson Ave,VIC,3922,2021-07-13,13/07/2021,10:35am - 10:55am,Case attended venue,2021-07-17,17/07/2021,19:48:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,10:35:00,10:55:00
Cremorne,Gaochi King Restaurant,228 Swan St,VIC,3121,2021-07-13,13/07/2021,8:30pm - 9:10pm,Case attended venue,2021-07-17,17/07/2021,19:47:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,20:30:00,21:10:00
Keilor Downs,Aldi Keilor Central,80 Taylors Road,VIC,3038,2021-07-14,14/07/2021,5:30pm - 6:40pm,Case attended venue,2021-07-17,17/07/2021,19:27:00,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",17:30:00,18:40:00
Cowes,Cowes Shopping Centre- Public Toilets,117/113 Thompson Ave,VIC,3922,2021-07-13,13/07/2021,10:40am - 11:20am,Case attended venue,2021-07-17,17/07/2021,19:23:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,10:40:00,11:20:00
Broadmeadows,Olsen Place Pharmacy ,13 Olsen Place,VIC,3047,2021-07-15,15/07/2021,3:25pm - 4:15pm,Case attended venue,2021-07-17,17/07/2021,19:23:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,15:25:00,16:15:00
Dallas,Foodworks ,1 Dobell Place,VIC,3047,2021-07-16,16/07/2021,11:45am - 1:00pm,Case attended venue,2021-07-17,17/07/2021,17:49:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,11:45:00,13:00:00
Dallas,Freshplus,159 Blair Street,VIC,3047,2021-07-16,16/07/2021,1:00pm - 1:50pm,Case attended venue,2021-07-17,17/07/2021,17:49:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,13:00:00,13:50:00
Albert Park,"Basketball Hall, Melbourne Sports and Acquatic Centre (MSAC)",30 Aughtie Drive,VIC,3206,2021-07-15,15/07/2021,9:15pm - 10:40pm,Case attended venue,2021-07-17,17/07/2021,17:49:00,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",21:15:00,22:40:00
Melbourne,The Crafty Squire ,127 Russell St,VIC,3000,2021-07-12,12/07/2021,3:00am - 8:15am,Case attended venue for Euro Finals event,2021-07-17,17/07/2021,17:39:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,03:00:00,08:15:00
Footscray,Jesus is the Way Christian Church,210 Nicholson Street,VIC,3011,2021-07-14,14/07/2021,7:30pm - 9:30pm,Case attended venue,2021-07-17,17/07/2021,17:39:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,19:30:00,21:30:00
Cowes,U-Neek Souvenirs Stores (see notes),Thompson Avenue,VIC,3922,2021-07-13,13/07/2021,11:05am - 11:35am,"Applies to stores located at 7, 7A ",2021-07-17,17/07/2021,17:22:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,11:05:00,11:35:00
Malvern East,McDonald’s Homesglen,606 Warrigal Road,VIC,3148,2021-07-14,14/07/2021,10:35pm - 11:00pm,Case attended venue,2021-07-17,17/07/2021,16:23:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,22:35:00,23:00:00
Kew,Frank & Harri,259 High St,VIC,3101,2021-07-13,13/07/2021,10:00am - 11:30am,Case attended venue,2021-07-17,17/07/2021,16:10:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,10:00:00,11:30:00
Kew,Frank & Harri,259 High St,VIC,3101,2021-07-14,14/07/2021,10:00am - 11:30am,Case attended venue,2021-07-17,17/07/2021,16:10:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,10:00:00,11:30:00
Melbourne,"Multiplex Construction Site - Bourke Street entrance, lobby, and lantern area",405 Bourke St,VIC,3000,2021-07-15,15/07/2021,8:50am - 10:00am,"Case attended: Bourke Street entrance, lobby, and lantern area",2021-07-17,17/07/2021,16:08:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,08:50:00,10:00:00
Altona Meadows,Altona Sports Centre,290 Queen St,VIC,3028,2021-07-13,13/07/2021,8:00pm - 10:00pm,Case attended venue,2021-07-17,17/07/2021,15:52:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,20:00:00,22:00:00
Cowes,Subway Cowes,119-135 Thompson Avenue,VIC,3922,2021-07-14,14/07/2021,12:20pm - 12:45pm,Case attended venue,2021-07-17,17/07/2021,15:47:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,12:20:00,12:45:00
Cowes,Woolworths Cowes,133 Thompson Avenue,VIC,3922,2021-07-14,14/07/2021,12:25pm - 12:45pm,Case attended venue,2021-07-17,17/07/2021,15:46:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,12:25:00,12:45:00
Cowes,Aldi Cowes,68-80 Thompson Avenue,VIC,3922,2021-07-13,13/07/2021,6:55pm - 7:25pm,Case attended venue,2021-07-17,17/07/2021,15:45:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,18:55:00,19:25:00
Cowes,Xpress Gourmet Pizza and Pasta,1/72 Chapel Street,VIC,3922,2021-07-13,13/07/2021,7:10pm - 7:25pm,Case attended venue,2021-07-17,17/07/2021,15:41:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,19:10:00,19:25:00
Cowes,Xpress Gourmet Pizza and Pasta,1/72 Chapel Street,VIC,3922,2021-07-13,13/07/2021,6:50pm - 7:05pm,Case attended venue,2021-07-17,17/07/2021,15:40:00,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",18:50:00,19:05:00
Cowes,Youki's Japanese Restaurant,1/68-80 Chapel Street,VIC,3922,2021-07-13,13/07/2021,12:55pm - 1:20pm,Case attended venue,2021-07-17,17/07/2021,15:38:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,12:55:00,13:20:00
Cowes,One Stop Discount Shop,83 Thompson Avenue,VIC,3922,2021-07-13,13/07/2021,10:50am - 11:15am,Case attended venue,2021-07-17,17/07/2021,15:35:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,10:50:00,11:15:00
Cowes,Woolworths Cowes - including public toilets,133 Thompson Avenue,VIC,3922,2021-07-13,13/07/2021,10:40am - 11:05am,Case attended venue,2021-07-17,17/07/2021,15:28:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,10:40:00,11:05:00
Cowes,Coles Cowes,Cnr Church & Thompson Ave,VIC,3922,2021-07-13,13/07/2021,9:00am - 9:20am,Case attended venue,2021-07-17,17/07/2021,15:13:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,09:00:00,09:20:00
Cowes,Vinnies Cowes,1/144 Thompson Avenue,VIC,3922,2021-07-13,13/07/2021,10:30am - 10:50am,Case attended venue,2021-07-17,17/07/2021,15:13:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,10:30:00,10:50:00
Moonee Ponds,Coles Moonee Ponds,Cnr Homer Street & Eddy Street,VIC,3039,2021-07-13,13/07/2021,9:00pm - 9:35pm,Case attended venue,2021-07-17,17/07/2021,13:35:00,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",21:00:00,21:35:00
Moonee Ponds,Coles Moonee Ponds,Cnr Homer Street & Eddy Street,VIC,3039,2021-07-12,12/07/2021,7:30pm - 7:45pm,Case attended venue,2021-07-17,17/07/2021,13:35:00,Tier 3 - Monitor for symptoms,"Anyone who has visited this location during these times should monitor for symptoms - If symptoms develop, immediately get tested and isolate until you receive a negative result.",19:30:00,19:45:00
Abbotsford,V Wine Salon,323 Victoria St,VIC,3067,2021-07-15,15/07/2021,8:57pm - 11:45pm,Case attended venue,2021-07-18,18/07/2021,23:21:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,20:57:00,23:45:00
Fitzroy,Amarillo Restaurant,149 Brunswick St,VIC,3065,2021-07-15,15/07/2021,6:15pm - 7:02pm,Case attended venue,2021-07-18,18/07/2021,23:19:00,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",18:15:00,19:02:00
Richmond,"Fitness First, Victoria Gardens Shopping Centre",620 Victoria St,VIC,3121,2021-07-15,15/07/2021,5:39am - 7:15am,Case attended venue,2021-07-18,18/07/2021,23:15:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,05:39:00,07:15:00
South Melbourne,"Spin South Melbourne, South Melbourne Market",322-326 Coventry St,VIC,3205,2021-07-11,11/07/2021,9:30am - 11:00am,Case attended venue,2021-07-18,18/07/2021,23:13:00,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",09:30:00,11:00:00
South Melbourne,"Create tBt Toys and Games, South Melbourne Market",322-326 Coventry St,VIC,3205,2021-07-11,11/07/2021,9:30am - 11:00am,Case attended venue,2021-07-18,18/07/2021,23:12:00,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",09:30:00,11:00:00
Melbourne,McDonald's Spencer St,Shop G2/620 Collins St,VIC,3000,2021-07-15,15/07/2021,7:31am - 8:06am,Case attended venue,2021-07-18,18/07/2021,23:11:00,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",07:31:00,08:06:00
Docklands,The Butcher Club,88 Waterfront Way,VIC,3008,2021-07-15,15/07/2021,12:26pm - 1:06pm,Case attended venue,2021-07-18,18/07/2021,23:10:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,12:26:00,13:06:00
South Melbourne,"The SuperCool, South Melbourne Market",322-326 Coventry St,VIC,3205,2021-07-11,11/07/2021,9:30am - 11:00am,Case attended venue,2021-07-18,18/07/2021,23:10:00,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",09:30:00,11:00:00
Docklands,Ichimaki,1b/700 Bourke St,VIC,3008,2021-07-14,14/07/2021,1:10pm - 1:25pm,Case attended venue,2021-07-18,18/07/2021,23:07:00,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",13:10:00,13:25:00
