Suburb,Site_title,Site_streetaddress,Site_state,Site_postcode,Exposure_date_dtm,Exposure_date,Exposure_time,Notes,Added_date_dtm,Added_date,Added_time,Advice_title,Advice_instruction,Exposure_time_start_24,Exposure_time_end_24
Richmond,"Percy Beames Bar, Members' Reserve (Level 2) - Melbourne Cricket Ground",Brunton Avenue,VIC,3002,2021-07-10,10/07/2021,5:20pm - 5:50pm,Case attended,2021-07-15,15/07/2021,21:00:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,17:20:00,17:50:00
Richmond,"MCC Members' Reserve (all other staff and ticketholders, all levels and male toilets Level 2), Carlton v Geelong game","Melbourne Cricket Ground, Brunton Ave",VIC,3002,2021-07-10,10/07/2021,4:00pm - 8:00pm,"Some staff and patrons present will be declared Primary Close Contacts and be contacted directly by the Department and required to isolate, get tested and quarantine for 14 days. This includes people seated in sections N40-46 of Level 2, and people who entered Gate 2 between 3:53pm and 4:06pm.",2021-07-15,15/07/2021,21:00:00,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",16:00:00,20:00:00
Richmond,Coles Victoria Gardens,Victoria Street & Burnley Street	,VIC,3121,2021-07-12,12/07/2021,12:30pm - 1:05pm,"Case attended venue
",2021-07-15,15/07/2021,21:00:00,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",12:30:00,13:05:00
Richmond,Soul Origin Victoria Gardens,"Kiosk K1008, 620 Victoria Street	",VIC,3121,2021-07-12,12/07/2021,12:35pm - 1:10pm,"Case attended venue
",2021-07-15,15/07/2021,21:00:00,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",12:35:00,13:10:00
Richmond,Victoria Gardens Shopping Centre - Basement level car park (Purple Zone)        ,620 Victoria Street	,VIC,3121,2021-07-12,12/07/2021,8:50am - 9:30am,Case attended,2021-07-15,15/07/2021,20:00:00,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",08:50:00,09:30:00
Richmond,Victoria Gardens Shopping Centre - Basement level car park (Purple Zone)        ,620 Victoria Street	,VIC,3121,2021-07-12,12/07/2021,4:30pm - 5:10pm,Case attended,2021-07-15,15/07/2021,20:00:00,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",16:30:00,17:10:00
Sunshine,Helping Hands Mission Inc. - Sunshine Op Shop,85 Hampshire Road,VIC,3020,2021-07-12,12/07/2021,10:30am - 11:30am,Case attended,2021-07-15,15/07/2021,19:20:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,10:30:00,11:30:00
Niddrie,Vinnies Niddrie,481A Keilor Road	,VIC,3042,2021-07-12,12/07/2021,11:30am - 12:30pm,Case attended,2021-07-15,15/07/2021,19:20:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,11:30:00,12:30:00
Moonee Ponds,Hero Sushi- Moonee Ponds Central Shopping Centre,25 Hall Street	,VIC,3039,2021-07-12,12/07/2021,2:30pm - 3:15pm,Case attended,2021-07-15,15/07/2021,19:20:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,14:30:00,15:15:00
Maidstone,Chemist Warehouse Maribyrnong	,4/44-56 Hampstead Road	,VIC,3012,2021-07-12,12/07/2021,5:10pm - 5:50pm,Case attended,2021-07-15,15/07/2021,19:20:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,17:10:00,17:50:00
